Wavelength,Average,Red,Green,Blue
660.4,211.,255,193.8,188.7
661,211.,252.4,193.8,188.7
661.5,211.,255,193.8,188.7
662.1,211.,255,193.8,188.7
662.6,211.,255,191.3,186.2
663.1,209.,255,188.7,186.2
663.7,209.,255,188.7,183.6
664.2,209.,255,186.2,183.6
664.8,206.,255,183.6,181
665.3,204,252.4,181,178.5
665.8,198.,249.9,175.9,170.9
666.4,198.,252.4,175.9,168.3
666.9,198.,255,175.9,170.9
667.5,198.,255,173.4,170.9
668,198.,255,173.4,170.9
668.5,196.,255,168.3,168.3
669.1,191.,255,160.7,163.2
669.6,188.,255,155.5,155.5
670.2,183.,255,150.4,150.4
670.7,181,255,145.3,147.9
671.2,178.,255,137.7,142.8
671.8,173.,252.4,132.6,137.7
672.3,168.,252.4,125,130.1
672.9,165.,252.4,117.3,125
673.4,163.,252.4,114.8,122.4
673.9,163.,255,112.2,122.4
674.5,160.,255,107.1,122.4
675,153,255,94.35,112.2
675.6,145.,247.3,84.15,104.5
676.1,137.,244.8,76.5,94.35
676.6,135.,244.8,71.4,91.8
677.2,130.,239.7,63.75,84.15
677.7,125,237.2,58.65,76.5
678.3,122.,237.2,56.1,73.95
678.8,117.,232.1,51,68.85
679.3,114.,229.5,48.45,66.3
679.9,109.,224.4,43.35,61.2
680.4,104.,221.8,40.8,56.1
681,102,216.8,35.7,53.55
681.5,99.4,216.8,33.15,51
682,96.9,214.2,28.05,45.9
682.6,91.8,211.6,22.95,43.35
683.1,86.7,209.1,17.85,38.25
683.7,84.1,204,12.75,33.15
684.2,79.0,198.9,10.2,30.6
684.7,73.9,191.3,7.65,25.5
685.3,71.4,183.6,7.65,22.95
685.8,68.8,178.5,7.65,20.4
686.4,63.7,170.9,5.1,17.85
686.9,61.2,163.2,2.55,12.75
687.4,53.5,155.5,0,10.2
688,51,147.9,0,7.65
688.5,48.4,140.3,0,7.65
689.1,48.4,135.2,0,7.65
689.6,45.9,127.5,2.55,7.65
690.1,43.3,122.4,0,5.1
690.7,38.2,114.8,0,2.55
691.2,35.7,104.5,0,2.55
691.8,30.6,89.25,0,2.55
692.3,30.6,81.6,0,7.65
692.8,28.0,81.6,0,5.1
693.4,28.0,79.05,0,2.55
693.9,25.5,73.95,0,2.55
694.5,25.5,73.95,0,2.55
695,25.5,71.4,0,5.1
695.5,25.5,68.85,0,5.1
696.1,22.9,63.75,0,5.1
696.6,22.9,61.2,0,5.1
697.2,20.4,58.65,0,5.1
697.7,20.4,53.55,0,5.1
698.2,17.8,51,0,5.1
698.8,17.8,51,0,2.55
699.3,15.3,48.45,0,2.55
699.9,15.3,43.35,0,2.55
700.4,12.7,38.25,0,2.55
700.9,12.7,33.15,0,2.55
701.5,12.7,33.15,0,2.55
702,12.7,33.15,0,2.55
702.6,10.2,30.6,0,2.55
703.1,10.2,30.6,0,2.55
703.6,10.2,30.6,0,2.55
704.2,10.2,30.6,0,2.55
704.7,7.65,25.5,0,0
705.3,7.65,25.5,0,0
705.8,7.65,25.5,0,0
706.3,7.65,25.5,0,0
706.9,7.65,25.5,0,0
707.4,7.65,22.95,0,0
708,7.65,20.4,0,0
708.5,7.65,20.4,0,0
709,7.65,20.4,0,0
709.6,7.65,22.95,0,2.55
710.1,7.65,20.4,0,2.55
710.7,7.65,20.4,0,2.55
711.2,5.1,17.85,0,0
711.7,5.1,15.3,0,0
712.3,5.1,12.75,0,0
712.8,5.1,12.75,2.55,0
713.4,2.55,10.2,0,0
713.9,2.55,7.65,0,0
714.4,2.55,7.65,0,0
715,2.55,7.65,0,0
715.5,2.55,7.65,0,0
716.1,2.55,7.65,0,0
716.6,2.55,7.65,0,0
717.1,2.55,10.2,0,0
